aisp;ano;mes;cisp;letalidade_violenta;estupro;roubo_rua;roubo_veiculo;roubo_carga;apreensao_drogas;fem_feminicidio;hom_por_interv_policial;total_roubos;total_furtos;recuperacao_veiculos;armas_arma_fogo_total;armas_arma_fogo_fuzil;armas_municao_total;policiais_pol_militares_mortos_serv;policiais_pol_civis_mortos_serv;cluster_id
5;2003;1;1;0;0;66;5;1;1;0;0;100;169;5;0;0;0;0;0;1
5;2003;1;4;3;1;51;9;1;35;0;0;82;115;7;0;0;0;0;0;1
5;2003;1;5;3;2;64;11;5;4;0;0;123;216;10;0;0;0;0;0;1
1;2003;1;6;6;2;56;27;6;20;0;0;143;90;77;0;0;0;0;0;1
1;2003;1;7;4;2;5;23;1;3;0;0;55;35;9;0;0;0;0;0;1
2;2003;1;9;2;0;44;30;0;11;0;0;124;268;20;0;0;0;0;0;1
2;2003;1;10;1;1;53;20;0;7;0;0;112;290;19;0;0;0;0;0;1
19;2003;1;12;3;1;47;3;1;11;0;1;131;256;6;0;0;0;0;0;1
19;2003;1;13;0;0;34;6;0;14;0;0;79;217;14;0;0;0;0;0;1
23;2003;1;14;0;1;42;19;0;10;0;0;118;311;12;0;0;0;0;0;1
23;2003;1;15;0;0;20;9;0;4;0;0;55;105;16;0;0;0;0;0;1
36;2003;1;16;4;7;48;48;1;13;0;0;164;290;22;0;0;0;0;0;1
4;2003;1;17;6;2;64;33;8;21;0;1;145;106;58;0;0;0;0;0;1
6;2003;1;18;3;1;71;42;1;2;0;0;158;117;18;0;0;0;0;0;1
6;2003;1;19;1;0;51;64;6;11;0;1;208;174;21;0;0;0;0;0;1
6;2003;1;20;4;1;42;47;5;11;0;2;135;144;43;0;0;0;0;0;1
22;2003;1;21;31;2;123;166;23;23;0;8;458;156;159;0;0;0;1;1;5
16;2003;1;22;2;1;58;131;10;7;0;0;309;167;103;0;0;0;0;0;0
3;2003;1;23;1;0;77;124;13;5;0;0;355;160;70;0;0;0;0;0;2
3;2003;1;24;4;1;46;78;10;7;0;1;208;66;60;0;0;0;0;0;2
3;2003;1;25;5;3;44;118;10;33;0;2;279;84;127;0;0;0;0;0;2
3;2003;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
9;2003;1;27;9;2;52;148;2;3;0;2;341;148;54;0;0;0;0;0;2
9;2003;1;28;6;1;49;54;3;3;0;3;157;83;36;0;0;0;0;0;2
9;2003;1;29;11;2;89;45;2;5;0;1;189;108;24;0;0;0;0;0;2
9;2003;1;30;9;2;67;96;4;4;0;5;247;95;32;0;0;0;0;0;2
14;2003;1;31;1;0;1;3;2;0;0;0;12;3;1;0;0;0;0;0;5
18;2003;1;32;7;7;53;52;10;9;0;0;172;114;54;0;0;0;0;0;2
14;2003;1;33;10;0;56;62;10;11;0;0;182;85;32;0;0;0;0;0;5
14;2003;1;34;29;11;77;93;14;38;0;15;282;166;96;0;0;0;1;1;5
31;2003;1;35;33;14;105;93;10;9;0;0;297;323;62;0;0;0;0;0;1
27;2003;1;36;26;4;34;26;7;20;0;3;101;105;23;0;0;0;0;0;3
17;2003;1;37;5;3;48;82;10;16;0;2;209;146;68;0;0;0;0;0;2
16;2003;1;38;2;1;22;142;14;11;0;1;291;106;90;0;0;0;0;0;0
9;2003;1;39;27;3;79;135;16;11;0;5;354;75;92;0;0;0;1;0;2
9;2003;1;40;12;3;35;70;8;2;0;3;167;48;89;0;0;0;0;0;2
18;2003;1;41;6;3;26;56;2;4;0;2;130;120;32;0;0;0;0;0;2
3;2003;1;44;7;1;39;105;10;11;0;2;237;62;86;0;0;0;0;0;2
24;2003;1;48;4;1;2;5;1;4;0;0;16;28;2;0;0;0;0;0;1
24;2003;1;50;7;1;11;4;0;4;0;0;29;37;4;0;0;0;0;0;1
24;2003;1;51;2;2;0;4;2;1;0;0;8;15;2;0;0;0;0;0;1
20;2003;1;52;8;7;50;67;14;3;0;2;201;138;27;0;0;0;0;0;2
